scientific_name,marker,ncbi_hits,common_name,source
Paralonchurus peruanus,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Parambassis baculis,12,0,chanda,"FDA The Seafood List, 2023/07/21"
Parapenaeopsis sculptilis,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Parapenaeopsis stylifera,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Parapercis colias,12,0,sandperch,"FDA The Seafood List, 2023/07/21"
Paratrachichthys trailli,12,0,roughy,"FDA The Seafood List, 2023/07/21"
Paristiopterus labiosus,12,0,boarfish,"FDA The Seafood List, 2023/07/21"
Parona signata,12,0,argentine queenfish,"FDA The Seafood List, 2023/07/21"
Parupenaeus cilatus,12,0,goatfish,"FDA The Seafood List, 2023/07/21"
Pecten meridionalis,12,0,scallop,"FDA The Seafood List, 2023/07/21"
Peprilus simillimus,12,0,butterfish,"FDA The Seafood List, 2023/07/21"
Percophis brasiliensis,12,0,duckbill,"FDA The Seafood List, 2023/07/21"
Platycephalus conatus,12,0,flathead,"FDA The Seafood List, 2023/07/21"
Platycephalus longispinis,12,0,flathead,"FDA The Seafood List, 2023/07/21"
Platyrhinoidis triseriata,12,0,guitarfish,"FDA The Seafood List, 2023/07/21"
